"","Reporter.Countries","Partner.Countries","Value_YearMean","LongitudeReport","LatitudeReport","LongitudePartner","LatitudePartner"
"129","Belgium","Republic of Korea",0.4,4.64065114,50.63981576,127.8391609,36.38523983
"130","Belgium","Romania",781.6,4.64065114,50.63981576,24.97293039,45.85243127
"131","Belgium","Russian Federation",53.8,4.64065114,50.63981576,96.68656112,61.98052209
"132","Belgium","Saudi Arabia",11.4,4.64065114,50.63981576,44.53686271,24.12245841
"133","Belgium","Serbia",13.2,4.64065114,50.63981576,20.78958334,44.2215032
"134","Belgium","Seychelles",1.4,4.64065114,50.63981576,55.47603279,-4.66099094
"135","Belgium","Singapore",8.4,4.64065114,50.63981576,103.8172559,1.35876087
"136","Belgium","Slovakia",1647.2,4.64065114,50.63981576,19.47905218,48.70547528
"137","Belgium","Slovenia",272.6,4.64065114,50.63981576,14.80444238,46.11554772
"138","Belgium","South Africa",12,4.64065114,50.63981576,25.08390093,-29.00034095
"139","Belgium","Spain",5113.8,4.64065114,50.63981576,-3.64755047,40.24448698
"140","Belgium","Sweden",1383.6,4.64065114,50.63981576,16.74558049,62.77966519
"141","Belgium","Switzerland",1319.4,4.64065114,50.63981576,8.20867471,46.79785878
"142","Belgium","Syrian Arab Republic",15.4,4.64065114,50.63981576,38.50788204,35.02547389
"143","Belgium","Turkey",42.6,4.64065114,50.63981576,35.16895346,39.0616029
"144","Belgium","Ukraine",66,4.64065114,50.63981576,31.38326469,48.99656673
"145","Belgium","United Arab Emirates",20,4.64065114,50.63981576,54.3001671,23.90528188
"146","Belgium","United Kingdom of Great Britain and Northern Ireland",2300.6,4.64065114,50.63981576,-2.86563164,54.12387156
"147","Belgium","United States of America",34.4,4.64065114,50.63981576,-112.4616737,45.6795472
"148","Belize","Australia",7.6,-88.71010486,17.20027509,134.4910001,-25.73288704
"149","Belize","Bahrain",1.4,-88.71010486,17.20027509,50.54196932,26.04205135
"150","Belize","Canada",4.4,-88.71010486,17.20027509,-98.30777028,61.36206324
"151","Belize","China, Taiwan Province of",0.8,-88.71010486,17.20027509,120.9542728,23.7539928
"152","Belize","Denmark",7.6,-88.71010486,17.20027509,10.02800992,55.98125296
"153","Belize","South Africa",0.2,-88.71010486,17.20027509,25.08390093,-29.00034095
"154","Belize","United Kingdom of Great Britain and Northern Ireland",29.2,-88.71010486,17.20027509,-2.86563164,54.12387156
"155","Belize","United States of America",0.2,-88.71010486,17.20027509,-112.4616737,45.6795472
"156","Belize","Zambia",0.2,-88.71010486,17.20027509,27.77475946,-13.45824152
"157","Bolivia (Plurinational State of)","Argentina",34,-64.68538645,-16.70814787,-65.17980692,-35.3813488
"158","Bolivia (Plurinational State of)","Australia",22,-64.68538645,-16.70814787,134.4910001,-25.73288704
"159","Bolivia (Plurinational State of)","Austria",2,-64.68538645,-16.70814787,14.1264761,47.58549439
"160","Bolivia (Plurinational State of)","Belgium",142,-64.68538645,-16.70814787,4.64065114,50.63981576
"161","Bolivia (Plurinational State of)","Canada",77,-64.68538645,-16.70814787,-98.30777028,61.36206324
"162","Bolivia (Plurinational State of)","Chile",18.8,-64.68538645,-16.70814787,-71.38256213,-37.73070989
"163","Bolivia (Plurinational State of)","China, Hong Kong SAR",0.6,-64.68538645,-16.70814787,114.1138045,22.39827737
"164","Bolivia (Plurinational State of)","China, mainland",0.4,-64.68538645,-16.70814787,103.8190735,36.56176546
"165","Bolivia (Plurinational State of)","China, Taiwan Province of",6.6,-64.68538645,-16.70814787,120.9542728,23.7539928
"166","Bolivia (Plurinational State of)","Denmark",4.6,-64.68538645,-16.70814787,10.02800992,55.98125296
"167","Bolivia (Plurinational State of)","France",268.4,-64.68538645,-16.70814787,-2.76172945,42.17344011
"168","Bolivia (Plurinational State of)","Germany",138.4,-64.68538645,-16.70814787,10.38578051,51.10698181
"169","Bolivia (Plurinational State of)","Greece",4,-64.68538645,-16.70814787,22.95555794,39.07469623
"170","Bolivia (Plurinational State of)","Japan",79.6,-64.68538645,-16.70814787,138.0308956,37.59230135
"171","Bolivia (Plurinational State of)","Lithuania",0.4,-64.68538645,-16.70814787,23.88719355,55.32610984
"172","Bolivia (Plurinational State of)","Netherlands",20,-64.68538645,-16.70814787,5.28144793,52.1007899
"173","Bolivia (Plurinational State of)","New Zealand",42,-64.68538645,-16.70814787,171.4849235,-41.81113557
"174","Bolivia (Plurinational State of)","Norway",3,-64.68538645,-16.70814787,15.34834656,68.75015572
